Nbr,Paper,St type,Start,End type,End,L15 st,L15 end,D_G,D_N,D_H3,D_H4,D_Other,GHG/T,M/O,Title,Abstract,Authors,Year,Journal,Volume,Issue,Pages (or article number),Sub.date,Pub.date,DOI,Link,Detection,Attribution,Impacts,Future,Language
33,"Kosaka & Xie, 2013",6,2001,"11, 13",2013,2001,2012,,,,1,,1,2,Recent global-warming hiatus tied to equatorial Pacific surface cooling,"Despite the continued increase in atmospheric greenhouse gas concentrations, the annual-mean global temperature has not risen in the twenty-first century, challenging the prevailing view that anthropogenic forcing causes climate warming. Various mechanisms have been proposed for this hiatus in global warming, but their relative importance has not been quantified, hampering observational estimates of climate sensitivity. Here we show that accounting for recent cooling in the eastern equatorial Pacific reconciles climate simulations and observations. We present a novel method of uncovering mechanisms for global temperature change by prescribing, in addition to radiative forcing, the observed history of sea surface temperature over the central to eastern tropical Pacific in a climate model. Although the surface temperature prescription is limited to only 8.2% of the global surface, our model reproduces the annual-mean global temperature remarkably well with correlation coefficient r = 0.97 for 1970?2012 (which includes the current hiatus and a period of accelerated global warming). Moreover, our simulation captures major seasonal and regional characteristics of the hiatus, including the intensified Walker circulation, the winter cooling in northwestern North America and the prolonged drought in the southern USA. Our results show that the current hiatus is part of natural climate variability, tied specifically to a La-Ni§a-like decadal cooling. Although similar decadal hiatus events may occur in the future, the multi-decadal warming trend is very likely to continue with greenhouse gas increase.","Yu Kosaka, Shang-Ping Xie",2013,Nature,501,7467,403-407,18-06-13,28-08-13,10.1038/nature12534,http://www.nature.com/nature/journal/v501/n7467/abs/nature12534.html,,1,,,En
85,Yeo et al. 2016,4,2000,13,2016,,,,,,,"ERSST, HadISST, Kaplan SST",1,2,The role of low-frequency variation in the manifestation of warming trend and ENSO amplitude,"Despite the increase in greenhouse gas concentration, the sea surface temperature (SST) over the tropical eastern Pacific during the period of 1999?2014 exhibits less warming trend compared to the earlier decades. It has been noted that this warming hiatus is accompanied by a negative phase of the Pacific Decadal Oscillation (PDO), which represents low-frequency variability over the Pacific. On the other hand, the 2015/2016 El Ni§o is among the strongest comparable to the 1997/1998 event, which coincides with the recently altered PDO phase from negative to positive. These observational evidences have generated substantial interest in the role of low-frequency variations in modulating El Ni§o-Southern Oscillation amplitude as well as manifestation of warming signal in the tropical Pacific. Therefore, it is necessary to appropriately separate low-frequency variability and global warming signal from SST records. Here, we present three primary modes of global SST that include secular warming trend, low-frequency variability, and biennial oscillation. Based on the independent behavior of these three modes, global warming is clearly continuing but its manifestation is enhanced (depressed) when the low-frequency variation is in the positive (negative) phase. Further, possibility of strong El Ni§o increases under the positive phase of the low-frequency mode, which amplifies warming over the tropical eastern Pacific. Indeed, the strong 2015/2016 El Ni§o is largely attributed to the positive phase of the low-frequency mode. In order to examine the climate models? ability to simulate the three SST modes as obtained in the observational record, the Coupled Model Intercomparison Project phase 5 (CMIP5) datasets are also analyzed. The spatial and temporal characteristics of the three modes have been replicated closely by the selected CMIP5 models forced by the historical condition, which provides an analogy of the interplay of three modes in the observed tropical Pacific SST.","Sae-Rim Yeo, Sang-Wook Yeh, Kwang-Yul Kim, WonMoo Kim",2016,Climate Dynamics,,,,29-05-16,05-10-16,10.1007/s00382-016-3376-0,http://rd.springer.com/article/10.1007/s00382-016-3376-0,,1,,,En
116,Dai et al. 2015,4,2000,7,2013,,,1,,,1,,1,2,Decadal modulation of global surface temperature by internal climate variability,"Despite a steady increase in atmospheric greenhouse gases (GHGs), global-mean surface temperature (T) has shown no discernible warming since about 2000, in sharp contrast to model simulations, which on average project strong warming. The recent slowdown in observed surface warming has been attributed to decadal cooling in the tropical Pacific, intensifying trade winds, changes in El Ni§o activity, increasing volcanic activity and decreasing solar irradiance. Earlier periods of arrested warming have been observed but received much less attention than the recent period, and their causes are poorly understood. Here we analyse observed and model-simulated global T fields to quantify the contributions of internal climate variability (ICV) to decadal changes in global-mean T since 1920. We show that the Interdecadal Pacific Oscillation (IPO) has been associated with large T anomalies over both ocean and land. Combined with another leading mode of ICV, the IPO explains most of the difference between observed and model-simulated rates of decadal change in global-mean T since 1920, and particularly over the so-called ?hiatus? period since about 2000. We conclude that ICV, mainly through the IPO, was largely responsible for the recent slowdown, as well as for earlier slowdowns and accelerations in global-mean T since 1920, with preferred spatial patterns different from those associated with GHG-induced warming or aerosol-induced cooling. Recent history suggests that the IPO could reverse course and lead to accelerated global warming in the coming decades.","Aiguo Dai, John C. Fyfe, Shang-Ping Xie, Xingang Dai",2015,NCC,5,June 2015,555-559,08-05-14,13-04-15,doi:10.1038/nclimate2605,http://www.nature.com/nclimate/journal/vaop/ncurrent/full/nclimate2605.html,,1,,,En
192,Wie et al. 2014,9a,,,,,,,,,,,1,2,The Global Warming Hiatus Simulated in HadGEM2-AO Based on RCP8.5,"Despite the greenhouse gases like carbon dioxide have steadily increased in atmosphere, the overall trend of the global average surface air temperature has stalled during the last decade (2002-present). This phenomenon is often called hiatus or warming pause, which is challenging the prevailing view that anthropogenic forcing causes warming environment. Our study characterized the hiatus by analyzing the HadGEM2-AO (95 yrs) simulation data based on RCP8.5 scenario. The PC2 time series from the EOF of the zonal mean vertical ocean temperature has been defined as the index that represents the warming pause. The relationship between the hiatus, ENSO and the changes in climate system are identified by utilizing the newly defined PC2. Since the La Nina index (defined as the negative of NINO3 index) leads PC2 by about 11 months, it may be possible that the La Nina causes the warming to be interrupted. We also show that the cooling of the climate system closed tied to the heat penetration into the deep ocean, indicating the weakening the warming rate is due to the oceanic heat uptake. Finally, the global warming hiatus is characterized by the anomalous warming in Arctic region as well as the intensification of the trade wind in the equatorial Pacific.","Jieun Wie, Byung-Kwon Moon, Ki-Young Kim, Johan Lee",2014,Journal of the Korean earth science society,35,4,249-258,,,10.5467/JKESS.2014.35.4.249,http://www.koreascience.or.kr/article/ArticleFullRecord.jsp?cn=JGGHBA_2014_v35n4_249,,1,,,En
28,Meehl et al. 2011,4,2000,6,2009,2000,2009,,,,,NA,B,2,Model-based evidence of deep-ocean heat uptake during surface-temperature hiatus periods,"There have been decades, such as 2000?2009, when the observed globally averaged surface-temperature time series shows little increase or even a slightly negative trend (a hiatus period). However, the observed energy imbalance at the top-of-atmosphere for this recent decade indicates that a net energy flux into the climate system of about 1?W?m?2 (refs 2, 3) should be producing warming somewhere in the system. Here we analyse twenty-first-century climate-model simulations that maintain a consistent radiative imbalance at the top-of-atmosphere of about 1?W?m?2 as observed for the past decade. Eight decades with a slightly negative global mean surface-temperature trend show that the ocean above 300?m takes up significantly less heat whereas the ocean below 300?m takes up significantly more, compared with non-hiatus decades. The model provides a plausible depiction of processes in the climate system causing the hiatus periods, and indicates that a hiatus period is a relatively common climate phenomenon and may be linked to La Ni§a-like conditions.","Gerald A. Meehl, Julie M. Arblaster, John T. Fasullo, Aixue Hu, Kevin E. Trenberth",2011,NCC,1,October 2011,360-364,16-06-11,18-09-11,10.1038/nclimate1229,http://www.nature.com/nclimate/journal/v1/n7/abs/nclimate1229.html,,1,,,En
156,Lee et al. 2015,6,2000,13,2015,,,,,,,NA,B,2,Pacific origin of the abrupt increase in Indian Ocean heat content during the warming hiatus,"Global mean surface warming has stalled since the end of the twentieth century, but the net radiation imbalance at the top of the atmosphere continues to suggest an increasingly warming planet. This apparent contradiction has been reconciled by an anomalous heat flux into the ocean, induced by a shift towards a La Ni§a-like state with cold sea surface temperatures in the eastern tropical Pacific over the past decade or so. A significant portion of the heat missing from the atmosphere is therefore expected to be stored in the Pacific Ocean. However, in situ hydrographic records indicate that Pacific Ocean heat content has been decreasing9. Here, we analyse observations along with simulations from a global ocean?sea ice model to track the pathway of heat. We find that the enhanced heat uptake by the Pacific Ocean has been compensated by an increased heat transport from the Pacific Ocean to the Indian Ocean, carried by the Indonesian throughflow. As a result, Indian Ocean heat content has increased abruptly, which accounts for more than 70% of the global ocean heat gain in the upper 700 m during the past decade. We conclude that the Indian Ocean has become increasingly important in modulating global climate variability.","Sang-Ki Lee, Wonsun Park, Molly O. Baringer, Arnold L. Gordon, Bruce Huber, Yanyun Liu ",2015,Nature geoscience,8,6,445-449,27-01-15,18-05-15,10.1038/ngeo2438,http://www.nature.com/ngeo/journal/vaop/ncurrent/full/ngeo2438.html,1,,,,En
1,Xie et al. 2016b,6,1999,13,2015,,,,,,,NA,,2,Distinct energy budgets for anthropogenic and natural changes during global warming hiatus,"The Earth?s energy budget for the past four decades can now be closed1, and it supports anthropogenic greenhouse forcing as the cause for climate warming. However, closure depends on invoking an unrealistically large increase in aerosol cooling2 during the so-called global warming hiatus since the late 1990s (refs 3,4) that was due partly to tropical Pacific Ocean cooling5, 6, 7. The difficulty with this closure lies in the assumption that the same climate feedback applies to both anthropogenic warming and natural cooling. Here we analyse climate model simulations with and without anthropogenic increases in greenhouse gas concentrations, and show that top-of-the-atmosphere radiation and global mean surface temperature are much less tightly coupled for natural decadal variability than for the greenhouse-gas-induced response, implying distinct climate feedback between anthropogenic warming and natural variability. In addition, we identify a phase difference between top-of-the-atmosphere radiation and global mean surface temperature such that ocean heat uptake tends to slow down during the surface warming hiatus. This result deviates from existing energy theory but we find that it is broadly consistent with observations. Our study highlights the importance of developing metrics that distinguish anthropogenic change from natural variations to attribute climate variability and to estimate climate sensitivity from observations.","Shang-Ping Xie, Yu Kosaka, Yuko M. Okumura",2016,Nature geoscience,9,1,29?33,13-03-15,09-11-15,10.1038/ngeo2581,http://www.nature.com/ngeo/journal/v9/n1/abs/ngeo2581.html,,1,,,En
8,Sillmann et al. 2014,5,1996,7,2010,1996,2010,,,,,HadEX2,,2,Observed and simulated temperature extremes during the recent warming hiatus,"The discrepancy between recent observed and simulated trends in global mean surface temperature has provoked a debate about possible causes and implications for future climate change projections. However, little has been said in this discussion about observed and simulated trends in global temperature extremes. Here we assess trend patterns in temperature extremes and evaluate the consistency between observed and simulated temperature extremes over the past four decades (1971?2010) in comparison to the recent 15 years (1996?2010). We consider the coldest night and warmest day in a year in the observational dataset HadEX2 and in the current generation of global climate models (CMIP5). In general, the observed trends fall within the simulated range of trends, with better consistency for the longer period. Spatial trend patterns differ for the warm and cold extremes, with the warm extremes showing continuous positive trends across the globe and the cold extremes exhibiting a coherent cooling pattern across the Northern Hemisphere mid-latitudes that has emerged in the recent 15 years and is not reproduced by the models. This regional inconsistency between models and observations might be a key to understanding the recent hiatus in global mean temperature warming.","Jana Sillmann, Markus G. Donat, John C. Fyfe, Francis W. Zwiers",2014,ERL,9,6,,11-04-14,18-06-14,10.1088/1748-9326/9/6/064023,http://iopscience.iop.org/1748-9326/9/6/064023,,1,,,En
10,Schmidt et al. 2014,5,1997,7,2013,1997,2013,1,,,,Cowtan & Way,,2,Reconciling warming trends,"Climate models projected stronger warming over the past 15 years than has been seen in observations. Conspiring factors of errors in volcanic and solar inputs, representations of aerosols, and El Ni§o evolution, may explain most of the discrepancy.","Gavin A. Schmidt, Drew T. Shindell, Kostas Tsigaridis",2014,Nature Geoscience,7,3,158-160,,27-02-14,10.1038/ngeo2105,http://www.nature.com/ngeo/journal/v7/n3/full/ngeo2105.html,,1,,,En
12,"Easterling & Wehner, 2009",4,1998,12,2008,1998,2008,,1,,,,,2,Is the climate warming or cooling?,"Numerous websites, blogs and articles in the media have claimed that the climate is no longer warming, and is now cooling. Here we show that periods of no trend or even cooling of the globally averaged surface air temperature are found in the last 34 years of the observed record, and in climate model simulations of the 20th and 21st century forced with increasing greenhouse gases. We show that the climate over the 21st century can and likely will produce periods of a decade or two where the globally averaged surface air temperature shows no trend or even slight cooling in the presence of longer-term warming.","David R. Easterling, Michael F. Wehner",2009,GRL,36,8,L08706,18-02-09,25-04-09,10.1029/2009GL037810,http://onlinelibrary.wiley.com/doi/10.1029/2009GL037810/abstract,,1,,,En
13,"Huber & Knutti, 2014",5,1998,9,2012,1998,2012,,,,1,Cowtan & Way,,2,"Natural variability, radiative forcing and climate response in the recent hiatus reconciled","Global mean surface warming over the past 15 years or so has been less than in earlier decades and than simulated by most climate models. Natural variability, a reduced radiative forcing, a smaller warming response to atmospheric carbon dioxide concentrations and coverage bias in the observations have been identified as potential causes. However, the explanations of the so-called ?warming hiatus? remain fragmented and the implications for long-term temperature projections are unclear. Here we estimate the contribution of internal variability associated with the El Ni§o/Southern Oscillation (ENSO) using segments of unforced climate model control simulations that match the observed climate variability. We find that ENSO variability analogous to that between 1997 or 1998 and 2012 leads to a cooling trend of about ?0.06 ¯C. In addition, updated solar and stratospheric aerosol forcings from observations explain a cooling trend of similar magnitude (?0.07 ¯C). Accounting for these adjusted trends we show that a climate model of reduced complexity with a transient climate response of about 1.8 ¯C is consistent with the temperature record of the past 15 years, as is the ensemble mean of the models in the Coupled Model Intercomparison Project Phase 5 (CMIP5). We conclude that there is little evidence for a systematic overestimation of the temperature response to increasing atmospheric CO2 concentrations in the CMIP5 ensemble.","Markus Huber, Reto Knutti",2014,Nature geoscience,7,9,651-656,06-03-14,17-08-14,10.1038/ngeo2228,http://www.nature.com/ngeo/journal/v7/n9/full/ngeo2228.html,,1,,,En
17,"Hunt, 2011",3,1999,13,2009,1998,2010,,,1,,,,2,The role of natural climatic variation in perturbing the observed global mean temperature trend,"Controversy continues to prevail concerning the reality of anthropogenically-induced climatic warming. One of the principal issues is the cause of the hiatus in the current global warming trend. There appears to be a widely held view that climatic change warming should exhibit an inexorable upwards trend, a view that implies there is no longer any input by climatic variability in the existing climatic system. The relative roles of climatic change and climatic variability are examined here using the same coupled global climatic model. For the former, the model is run using a specified CO2 growth scenario, while the latter consisted of a multi-millennial simulation where any climatic variability was attributable solely to internal processes within the climatic system. It is shown that internal climatic variability can produce global mean surface temperature anomalies of Ò0.25 K and sustained positive and negative anomalies sufficient to account for the anomalous warming of the 1940s as well as the present hiatus in the observed global warming. The characteristics of the internally-induced negative temperature anomalies are such that if this internal natural variability is the cause of the observed hiatus, then a resumption of the observed global warming trend is to be expected within the next few years.",B. G. Hunt,2011,Climate Dynamics,36,3-4,509-521,04-06-09,25-03-10,10.1007/s00382-010-0799-x,http://link.springer.com/article/10.1007%2Fs00382-010-0799-x,,1,,,En
